"date","git hash","git date","model name","run 1","run 2","run 3","run 4","run 5","run 6","run 7","run 8","run 9","run 10","run 11","run 12","run 13","run 14","run 15","run 16","run 17","run 18","run 19","run 20","run 21","run 22","run 23","run 24","run 25","run 26","run 27","run 28","run 29","run 30","run 31","run 32","run 33","run 34","run 35","run 36","run 37","run 38","run 39","run 40","run 41","run 42","run 43","run 44","run 45","run 46","run 47","run 48","run 49","run 50","run 51","run 52","run 53","run 54","run 55","run 56","run 57","run 58","run 59","run 60","run 61","run 62","run 63","run 64","run 65","run 66","run 67","run 68","run 69","run 70","run 71","run 72","run 73","run 74","run 75","run 76","run 77","run 78","run 79","run 80","run 81","run 82","run 83","run 84","run 85","run 86","run 87","run 88","run 89","run 90","run 91","run 92","run 93","run 94","run 95","run 96","run 97","run 98","run 99","run 100","matches tagged version","all values same"
"2015-01-26T00:14:10","3e1208fb8d2b5a4b12d46b8614bb7001ac4b0c1a","2014-10-20T14:26:54","logistic",2827,2802,3637,2915,2941,2515,3196,2923,3114,3320,3059,3149,3213,2775,2908,3013,2959,3309,3216,2647,3228,3012,3245,3034,2629,2894,2887,2617,2637,2684,2714,3547,2797,2753,2843,2846,2810,2873,2877,3113,3503,2794,2922,3066,2838,2743,2722,2745,2707,2596,2654,2963,3117,3515,3097,2601,2907,3198,3606,2885,3034,2798,2600,3262,2715,2993,2624,3327,2732,2800,2987,2908,2997,2633,2789,2761,2786,3008,2791,2895,3439,2523,2713,3105,2553,2984,2811,3321,2774,3668,2617,3179,3179,2887,2597,2790,3335,2778,2748,2696,"yes","yes"
"2015-01-26T00:21:02","1e616a3a7d08500b91c16135080696ca59cd4938","2014-10-20T18:51:53","logistic",3280,3526,3446,3397,3146,3073,3355,3061,2889,2934,3189,3667,3291,3193,3163,3353,3118,3629,3357,3217,3267,3404,2949,3026,2975,3157,3099,3252,3165,3273,3289,3247,3286,3391,3360,2938,3374,3473,3399,3293,3291,3071,3308,3292,3410,2985,3133,3113,3412,3179,3693,3351,2986,3352,2974,2902,3228,2917,2903,3327,3217,3146,3219,3023,3028,3183,3357,2882,3006,3227,3579,3408,3140,3041,2876,3046,3251,3071,3115,3401,3480,3423,3152,3348,2997,3103,3496,2862,3237,3140,3009,3239,2991,3104,3144,3016,3046,3428,2988,3408,"yes","yes"
"2015-01-26T00:27:26","182d1b2af62ea40cf62f78077885e34d826593af","2014-10-22T23:55:32","logistic",3265,2771,3531,2472,2823,3685,2498,3066,2673,2665,2816,3267,3103,3459,2641,3147,2620,3114,3761,3036,3093,3605,3381,3626,3011,2954,2597,2840,3144,2874,2753,2526,2887,2697,3114,2763,2620,2746,2911,2852,3277,2614,2675,2623,2929,3072,2567,3512,2731,3099,3023,3109,2772,2665,3216,3237,3523,2849,2667,2666,2701,2613,2706,3280,2649,2807,2628,2603,2680,2866,2655,2981,2945,2904,3261,2713,2618,2609,2567,3382,3261,3095,3162,2774,2902,2689,3027,3581,3031,3327,2553,3210,3408,3189,2977,2913,3018,2753,3062,3212,"yes","yes"
"2015-01-26T00:33:47","77a0cc4db76359c3b39427b298727d648c0f8c5e","2014-10-24T16:22:18","logistic",3262,2897,2857,2562,2864,3114,2754,2688,2968,2590,2771,2883,3226,2626,2684,2533,2561,2686,3286,2526,3254,2712,3552,2604,2641,2749,2637,2929,2766,3373,2961,2588,2672,2590,2636,2578,2821,2535,2867,3283,3292,3148,2818,2713,2646,2936,2556,2910,2855,2787,2575,2922,2848,3076,3467,3134,2970,3202,3021,3053,2583,2836,2743,2828,2726,2835,2677,3165,3207,2876,2769,3439,3168,3117,2806,2808,2840,3309,2871,2967,2568,3196,3270,2942,3427,3116,3222,3182,3234,2636,2697,2835,2897,3579,2639,2523,2583,2706,2613,3491,"yes","yes"
"2015-01-26T00:40:07","aa84dbb55863668ba677cd81ad9ff00988c21478","2014-10-26T19:47:02","logistic",3407,2595,2552,3224,2928,2627,3313,2607,3016,2920,3049,2998,3093,3264,3233,2654,2904,2848,2792,2944,3109,2716,3027,2699,2948,3116,2656,3314,2982,3180,2548,2627,2634,2640,2606,3060,3291,3038,3037,2897,2789,2606,2977,3123,2817,3053,2653,2735,3058,3132,2706,3249,2639,3044,3118,2700,3098,2606,2677,3057,2986,2639,3834,2554,2558,3254,3125,3200,2809,2918,3076,2673,2703,2662,3494,3811,2995,2703,2563,2627,2693,2748,2948,3312,2539,2917,2561,2611,2585,3091,2908,2847,2777,3189,2943,2908,3215,2659,2868,2631,"yes","yes"
"2015-01-26T00:46:27","73309790b298daa274752106825fcd7cdefb802a","2014-10-27T18:29:27","logistic",2836,3697,2580,2670,3188,2852,3008,3073,2984,2963,2997,3322,2513,2969,3018,2654,2934,3097,3029,3424,2943,2692,3077,2802,2514,2729,2593,3335,3017,2643,3197,2789,2646,2911,2590,2966,3341,2525,2609,2888,2737,2919,2719,2612,2540,2669,2560,2704,2850,2527,3254,2767,2884,3450,2593,2709,2603,3052,2884,3474,2941,2898,3143,3009,2685,2744,2794,3058,2612,3186,3088,2784,3159,2907,3219,2930,2781,3388,2574,3475,2991,3047,2611,3092,3169,2706,3424,2638,2630,2630,2618,3140,2933,3048,3453,2870,2861,2637,2635,2976,"yes","yes"
"2015-01-26T00:52:44","b4a361351b4a9e4011a6f73c6d3902c47ba0cf70","2014-11-02T15:24:55","logistic",3124,2861,3171,2777,2711,2909,2980,2818,2614,2541,3129,2706,3217,3254,2636,2644,2638,2830,2745,3002,2702,3121,3177,2609,2641,2788,3100,3075,3525,2836,3327,3181,3838,3075,2991,2521,2758,2664,2811,2963,2896,3023,2683,2708,2699,3047,2664,3078,3354,2605,3037,3043,2900,3211,2855,3163,3055,2885,2690,3303,2875,3073,2846,2845,2847,2863,2643,2788,2559,2686,3231,2617,3357,2615,2836,2707,3554,2665,2891,3124,3264,2599,2618,2789,2700,3111,2612,2757,2773,2913,3123,2681,2480,3518,2739,2665,2749,2856,2706,2821,"yes","yes"
"2015-01-26T00:59:07","ea39c6b31cdc58c0e1eae2f121789e11329f73f8","2014-11-03T21:10:40","logistic",2697,2891,2891,2840,3170,2907,3126,2713,2975,3031,3265,3016,2565,2672,2614,3209,2855,2962,3484,3613,2727,2592,3113,2681,2727,3800,2831,2707,2750,3287,3037,2882,3329,3361,3015,2636,2532,2511,2628,2545,2529,2392,2526,3122,2719,2808,3037,3057,2706,2621,2691,2857,3140,2564,3048,2727,2952,3221,3164,3286,2695,2560,3249,3626,3132,3433,2785,3486,2860,3388,3048,2996,2652,2773,3016,2969,2598,2864,2944,2956,3416,3529,2697,3217,2808,3531,2900,2713,3044,2729,2967,2790,3217,2669,2955,2877,2857,2949,3474,2938,"yes","yes"
"2015-01-26T01:05:23","b9779048f83f6501f01e4d5da4a511700f595e84","2014-11-04T15:39:06","logistic",2702,2586,2862,2482,4032,2663,3034,3367,2899,2703,2732,2982,2999,2585,3066,3475,3038,2546,2723,2683,2984,2759,2709,2850,2610,2527,2745,2802,2903,3020,3323,2777,2651,3020,3386,2645,3024,2916,3025,2996,2615,2651,3329,2709,3176,2918,2952,2942,3048,2780,2815,3127,2551,3033,3120,2983,3154,2654,2793,2709,2838,2645,2584,2971,2706,2700,2844,2535,3028,2833,2724,2770,2759,2974,2660,3073,2665,2621,2869,2635,2553,3036,2852,2709,2983,2847,2909,3013,2835,2938,3051,2752,3012,2913,2734,2643,2898,2731,2942,3395,"yes","yes"
"2015-01-26T01:11:46","429d95186c49b1499f59b33e8ea8b2212cc339eb","2014-11-04T22:13:35","logistic",2785,2808,2762,3372,2728,2635,2820,2773,3196,2764,3558,2697,3136,2555,2570,2713,2928,2959,2696,3085,2726,2939,3105,3071,2904,3208,3295,2856,3270,2734,3261,3300,2963,2665,2901,2996,3061,2685,2813,2722,2678,2705,3023,2932,2612,2595,3361,2781,3206,3039,2961,2700,3050,3449,3550,3110,2962,3070,2993,3011,3366,3071,3215,2800,2732,3362,3202,3113,2989,3418,2682,2645,2738,3091,2911,2991,3086,2708,2990,3023,2558,3443,2834,2748,3192,2643,2713,3149,2725,3135,2635,2719,3104,2680,2775,2908,3046,2585,2645,2837,"yes","yes"
"2015-01-26T01:21:14","616f9a5ddd219d03abc1dd204034e572396b4ec4","2014-11-05T03:42:00","logistic",5540,4804,4169,4435,4491,4891,5226,4747,4416,5091,4944,4672,4364,5147,4718,5277,5422,4739,4789,4270,5030,4388,4911,4321,4549,4518,4306,5408,4661,4864,4861,4786,4827,4266,5082,4309,4795,4413,4806,4427,4665,4777,4535,4817,4508,5183,4904,4444,5020,4404,4868,5017,5067,4822,5604,5354,4485,4629,5119,4521,4889,5132,4990,4867,5053,4528,4992,4325,4366,5320,4255,4633,4311,4232,5174,4694,4986,4284,4829,4530,5222,4249,4248,4274,5680,4929,5818,4721,4712,5017,4979,4861,5176,4915,4837,4352,4465,4580,4421,4630,"yes","yes"
"2015-01-26T01:30:35","a0ae5d65d0bb1aebe66a345edef3f2671db8ae54","2014-11-15T15:10:48","logistic",4810,4445,4207,4998,4955,4497,4488,5296,4679,4735,5281,4307,4208,4318,4444,4816,4773,4351,4392,4517,4435,4451,4397,4742,4994,4764,4685,5247,4863,4169,4915,4824,5054,4411,4762,4162,4425,4598,4393,4821,4803,4670,4669,4784,4957,4783,4867,4429,5670,4168,4643,5573,4661,5157,4206,4901,4884,5181,5177,5089,4459,4346,4458,5410,4635,4655,4870,4820,4483,4826,4791,4838,4309,4856,4473,5050,5200,4978,4692,4873,4776,4363,4716,4828,4659,4787,4695,4220,4647,4445,4485,5032,4624,4904,4407,4337,4387,4549,4323,4611,"yes","yes"
"2015-01-26T01:39:38","6bb03690e89e1270482b48290d6ee4f2ec275971","2014-11-17T16:11:16","logistic",4680,4124,4539,4516,4119,5184,4544,4984,4868,5105,4385,5019,4195,4796,4889,4863,4458,4874,4622,4423,4165,4851,4210,4114,4321,4405,4679,4570,4110,4355,5261,4588,4996,5404,4929,4566,4439,4695,4711,4367,4370,4217,4121,4772,4553,4319,4441,4291,4702,4373,4844,4661,4476,4778,4087,4227,4125,4359,4119,4874,4936,5050,4622,4349,4741,4396,4823,4206,4445,5973,4451,5368,4901,4498,4848,4392,4123,4566,4255,4593,4527,4313,4370,4723,4109,4529,4233,4386,4841,4871,4197,5288,4513,4505,4305,4290,5019,4425,4244,4320,"yes","yes"
"2015-01-26T01:49:02","e6193fd8aa135acf4f681fe9722c162ddd05cec0","2014-11-18T05:54:23","logistic",5981,4560,4243,5030,4372,4727,4749,5197,4693,4673,4952,4838,4211,4683,4295,4305,4400,4275,5135,5120,4894,4587,4948,4421,4582,4397,4496,5055,5011,5432,4799,4249,4208,4537,4253,4210,5785,4738,4997,5154,4557,4415,4186,4503,5672,5216,4374,4659,4832,4657,4766,5014,4849,5239,4387,4689,4236,4670,5194,4390,4757,4648,4561,4799,4975,4228,5120,5005,4930,4647,5233,4916,5106,4752,4748,4793,5001,5490,4522,4362,5143,4912,5524,4630,4738,4818,4485,4891,4385,5620,4548,4632,4625,5186,4838,4992,4920,4598,4265,4291,"yes","yes"
"2015-01-26T01:58:42","c0306f2a6ad44801b4ccf4e50ee48ec13676b78f","2014-11-20T05:06:26","logistic",4912,4860,4821,4501,5133,4993,4573,5049,4966,4596,4690,4721,5144,5112,4852,5591,4662,4333,4397,4780,5030,5065,5289,5925,4512,4969,5217,6065,4810,4748,5094,4623,5412,4777,4543,4712,5324,4915,5259,4521,5120,5249,4611,5034,5411,5564,4649,4482,4949,5058,4710,4972,4463,4982,4688,5080,5497,4970,5244,5502,4981,4907,5500,4571,4929,4423,5761,4514,4450,5366,4409,5283,4580,4991,4526,4773,4790,4707,4381,4886,4951,4600,4728,4845,4852,4598,5110,4482,4944,4746,5095,5354,4319,4838,5074,4891,4655,5176,5025,4843,"yes","yes"
"2015-01-26T02:08:03","edda77231bbb2ecb49f0c2de5cdfa198c2822fc3","2014-11-20T05:06:56","logistic",4706,5149,4891,4753,4310,5133,4740,5293,4282,4750,4234,4360,4881,4478,4712,5003,4583,5088,4247,4555,5426,4594,4881,4940,6009,4280,5272,4945,4737,4225,5348,4567,4281,4778,4455,5406,5224,4699,4651,4483,4286,4214,4463,5615,4973,4738,4480,4938,4408,4886,4543,4568,4876,4668,4536,4898,4333,4378,4473,4632,4522,5071,4922,4264,4684,4499,4757,4705,4742,4673,4476,5268,4121,5085,5224,5024,4581,4321,4736,4242,5064,4203,5050,4426,4265,4626,4508,4624,4210,5021,4856,4551,5545,5051,4179,5487,4396,4543,4340,4934,"yes","yes"
"2015-01-26T02:17:25","632dafec6d1b739ecdfbcfade539c5062e3d2e5b","2014-11-21T18:54:10","logistic",4384,4734,4701,4662,4811,4524,4914,5056,5306,5225,4533,5105,4699,4231,5154,4795,4705,4965,4841,4375,4416,4300,5171,4653,4614,5126,5574,4596,4451,4691,4831,5219,4644,4202,5136,4430,4825,4155,4771,4851,4855,4375,4171,4210,4619,4906,4837,5102,4999,4708,4331,4729,4714,4679,4457,5354,4417,5413,5009,5102,4261,4554,4166,4762,4332,4224,5022,4593,4769,4801,4608,5050,4717,5189,5667,4173,4480,4618,4813,4804,4868,4833,5544,4436,5290,4452,4862,4906,4549,4328,4422,4299,4150,4869,4424,4498,4976,4472,4352,4563,"yes","yes"
"2015-01-26T02:26:46","c597e827cedf34a56ad5ffd83ce0f1b635213f8e","2014-11-21T20:46:21","logistic",5022,4693,4206,4217,4522,4617,4547,4968,4747,4605,4373,4243,4571,4740,4310,4645,4327,4386,4179,4896,4936,4559,4874,5314,4582,4780,4368,4749,4175,4989,5138,4871,4167,5119,4953,4849,4692,4657,4814,4592,5397,4266,4321,4360,4770,4591,4956,4885,4925,5004,4750,4474,5018,4780,4564,4249,4725,5058,4683,4666,4630,4772,4964,4910,4656,4978,4922,5116,5226,4331,4707,4673,4619,5145,4554,4379,4622,4387,5111,4713,4788,4875,4499,4321,4921,4788,5168,5180,4662,4838,4838,4313,4949,4780,4921,4696,4983,5109,5086,4166,"yes","yes"
